area,effective_dims,label
schaefer_206,6.552574554051084,206
schaefer_55,6.558901521941342,55
schaefer_209,6.601127294950731,209
schaefer_37,6.609583268530031,37
schaefer_5,6.612976581328035,5
schaefer_191,6.656549194304104,191
schaefer_172,6.677537864872077,172
schaefer_40,6.694652337244152,40
schaefer_313,6.709868901587876,313
schaefer_106,6.723436958275146,106
schaefer_103,6.732449109609594,103
schaefer_178,6.777058616518566,178
schaefer_378,6.77903516208716,378
schaefer_216,6.831775665847633,216
schaefer_303,6.850622569514833,303
schaefer_105,6.853688869872563,105
schaefer_96,6.859509022775607,96
schaefer_168,6.913482393307919,168
schaefer_72,6.95071505933563,72
schaefer_39,6.968421667858439,39
schaefer_99,6.989273386947692,99
schaefer_36,6.989798292956197,36
schaefer_235,6.9958187238084975,235
schaefer_109,7.003277423074468,109
schaefer_26,7.019804823107263,26
schaefer_140,7.027802691660095,140
schaefer_345,7.066715470459399,345
schaefer_322,7.076711934779159,322
schaefer_254,7.0856232937857015,254
