TrialNumber,amount,prob,set,lottery_id,ran,order,view_time,slider_time,end_time,rt,choice,mouse_start,wait_time,start_ev_time,view_ev_duration,eval_ev_duration,end_ev_time,ev_duration,EV,run
5,0,0,0.0,0,1.0,4.0,50.29758,,56.29936599731445,,,,5.902464,50.29758,1,5.0,,6.0,0.0,5
6,11,20,12C-17C-23C-28C,4,1.0,5.0,62.213123,63.239986419677734,65.46038055419922,2.2177248001098633,0.0,60.0,8.571056,62.213123,1,2.2177248001098633,65.4577112197876,3.2445882197875946,2.2,5
7,39,60,9C-25B,15,1.0,6.0,74.06181,75.0818099975586,78.86058044433594,3.789639472961426,21.0,52.0,7.6084895,74.06181,1,3.789639472961426,78.87144947052002,4.809639470520025,23.4,5
8,76,65,8C-19A-24B,29,1.0,7.0,86.50712,87.52872467041016,91.22723388671875,3.70949649810791,49.0,75.0,6.8731112,86.50712,1,3.70949649810791,91.23822116851807,4.731101168518066,49.4,5
9,36,70,3A-5C-10B,13,1.0,8.0,98.13281,99.15814208984375,102.36077880859375,3.213968276977539,25.0,3.0,7.409592,98.13281,1,3.213968276977539,102.37211036682129,4.239300366821283,25.2,5
10,36,60,1C-7C-15C,12,1.0,9.0,109.792625,110.81697845458984,114.42738342285156,3.6211254596710205,20.0,5.0,7.7470126,109.792625,1,3.6211254596710205,114.43810391426086,4.645478914260863,21.6,5
11,58,45,11C-18C-25A,21,1.0,10.0,122.21123,123.23419189453125,126.67737579345703,3.454052686691284,15.0,6.0,7.5446424,122.21123,1,3.454052686691284,126.68824458122253,4.477014581222534,26.1,5
12,4,75,12B-20B-23B-27C-29C,3,1.0,11.0,134.25897,135.27191162109375,138.7937469482422,3.5329418182373047,1.0,55.0,7.859137,134.25897,1,3.5329418182373047,138.80485343933105,4.54588343933105,3.0,5
13,0,0,0.0,0,1.0,12.0,146.68169,,152.69113159179688,,,,6.0388513,146.68169,1,5.0,,6.0,0.0,5
14,71,55,5B-18A,27,1.0,13.0,158.7449,159.7678985595703,163.14378356933594,3.377464532852173,37.0,74.0,8.061114,158.7449,1,3.377464532852173,163.14536309242249,4.400463092422484,39.05,5
15,43,75,11B-19B-24A-26A,18,1.0,14.0,171.24173,172.26710510253906,174.6608123779297,2.4045252799987793,26.0,15.0,8.582363,171.24173,1,2.4045252799987793,174.67163038253784,3.429900382537852,32.25,5
16,64,25,6A-21A,24,1.0,15.0,183.28027,184.3013458251953,188.5941162109375,4.3036065101623535,9.0,44.0,6.421182,183.28027,1,4.3036065101623535,188.60495233535767,5.324682335357664,16.0,5
17,4,25,6C-29B-30C,1,1.0,16.0,195.04767,196.071533203125,198.24404907226562,2.183274745941162,0.0,64.0,9.036568,195.04767,1,2.183274745941162,198.25480794906616,3.2071379490661514,1.0,5
